titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades
"MONTEVIOLETA, Lote en Venta en La violeta, Sopó",https://www.fincaraiz.com.co/proyectos-vivienda/montevioleta-lotes-en-venta-en-la-violeta-sopo/15017479,476000000,0,0,1500,sopó
"Solé, Apartamentos en Venta en Parque Natura, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/sole-apartamentos-en-venta-en-parque-natura-jamundi/15017465,396790000,3,2,90.73,jamundí
"ALTOS DE LA ESPERANZA, Apartamentos en Venta en Siete trojes, Funza",https://www.fincaraiz.com.co/proyectos-vivienda/altos-de-la-esperanza-apartamentos-en-venta-en-siete-trojes-funza/7149052,213525000,3,2,60,funza
"Santa Clara, Apartamentos en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/santa-clara-apartamentos-en-venta-en-valle-del-lili-cali/10856493,415449000,2,2,70.83,cali
"Dimaro, Apartamentos en Venta en Metropolitana, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/dimaro-apartamentos-en-venta-en-metropolitana-barranquilla/7883920,441712000,3,2,74,barranquilla
"VÉRTICE, Apartamentos en Venta en Restrepo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/vertice-apartamentos-en-venta-en-restrepo-bogota/15017056,213525000,2,1,35.19,bogotá
"Reserva del Bosque, Apartamento en Venta en Macarena los alpes, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-del-bosque-apartamentos-en-venta-en-macarena-los-alpes-bogota/10375502,163607503,2,1,37,bogotá
"CLARO VERDE, Casas en Venta en Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/claro-verde-casas-en-venta-en-jamundi/15017326,149721595,2,1,41.03,jamundí
"EL ROBLE, Apartamentos en Venta en La felicidad, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/el-roble-apartamentos-en-venta-en-la-felicidad-bogota/15017286,540203700,2,2,59.35,bogotá
"Macarena, Casa en Venta en La Morada, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/macarena-casas-en-venta-en-la-morada-jamundi/15017027,372000000,2,1,80.92,jamundí
"ASTORIA, Apartamentos en Venta en La Selva, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/astoria-apartamentos-en-venta-en-la-selva-cali/15017249,431886000,2,2,66.17,cali
"PLATINUM ZAKURA RESERVA CAMPESTRE, Lote en Venta en La loma, Villa del rosario",https://www.fincaraiz.com.co/proyectos-vivienda/platinum-zakura-reserva-campestre-lotes-en-venta-en-la-loma-villa-del-rosario/7060880,225000000,0,0,300,no especifica
"CASAS DE LA VEGA, Apartamento en Venta en El hormiguero, Puerto tejada",https://www.fincaraiz.com.co/proyectos-vivienda/casas-de-la-vega-apartamentos-en-venta-en-el-hormiguero-puerto-tejada/10229007,140000000,2,1,53.41,puerto tejada
"CÚSPIDE APARTAMENTOS, Apartamentos en Venta en Molinos ii sector, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/cuspide-apartamentos-apartamentos-en-venta-en-molinos-ii-sector-bogota/15017354,207830000,2,2,47.28,bogotá
"MARAMA, Apartamento en Venta en Caños negros, Villavicencio",https://www.fincaraiz.com.co/proyectos-vivienda/marama-apartamentos-en-venta-en-caños-negros-villavicencio/15017318,222074595,2,1,58,villavicencio
"TIERRALINDA DE LAS FLORES, Apartamentos en Venta en TierraLinda, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-de-las-flores-apartamentos-en-venta-en-tierralinda-cali/10089763,324042947,3,2,61.67,cali
"BOSQUES DE ALCALA, Apartamento en Venta en Bello",https://www.fincaraiz.com.co/proyectos-vivienda/bosques-de-alcala-apartamentos-en-venta-en-bello/15017518,235000000,3,2,54.51,bello
"TIERRA DULCE, Apartaestudios en Venta en Caldas",https://www.fincaraiz.com.co/proyectos-vivienda/tierra-dulce-apartaestudios-en-venta-en-caldas/15016931,245000000,2,2,52,caldas
"BOSQUE SAN ANGEL, Apartamento en Venta en Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/bosque-san-angel-apartamentos-en-venta-en-ibague/15017299,449566000,3,2,91.05,ibagué
"EL GUAYACAN, Apartamentos en Venta en Villa Fatima, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/el-guayacan-apartamentos-en-venta-en-villa-fatima-cali/5750846,214000000,2,1,59.14,cali
"LA ALMERIA ALSACIA RESERVADO, Apartamento en Venta en Ciudad alsacia, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/la-almeria-alsacia-reservado-apartamentos-en-venta-en-ciudad-alsacia-bogota/7872475,568622000,3,2,64.43,bogotá
"SERENITY HOMES, Casas en Venta en El Caimo, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/serenity-homes-casas-en-venta-en-el-caimo-armenia/15017133,621464913,3,3,116.4,armenia
"CITYCENTER, Apartamento en Venta en La victoria, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/citycenter-apartamentos-en-venta-en-la-victoria-bucaramanga/2395253,467034000,2,2,55.35,bucaramanga
"Ciudad del Parque Acandí, Apartamento en Venta en Soledad",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-del-parque-acandi-apartamentos-en-venta-en-soledad/15017219,189800000,2,2,59.89,soledad
"VALDIVIANA, Apartamentos en Venta en La Morada, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/valdiviana-apartamentos-en-venta-en-la-morada-jamundi/15016907,262041000,2,1,60.65,jamundí
"TIERRALINDA DEL VIENTO, Apartamentos en Venta en Villa Fatima, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-viento-apartamentos-en-venta-en-villa-fatima-cali/15017068,535000000,2,1,92.26,cali
"PUERTA DORADA LA BAHIA, Apartamento en Venta en Veinte de julio, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-dorada-la-bahia-apartamentos-en-venta-en-veinte-de-julio-barranquilla/15017214,227767000,2,2,72.94,barranquilla
"RETIRO DEL VIENTO, Casa en Venta en El Retiro",https://www.fincaraiz.com.co/proyectos-vivienda/retiro-del-viento-casas-en-venta-en-el-retiro/15016676,580000000,3,4,90,el retiro
"Tribeca, Apartamentos en Venta en Santa Anita, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tribeca-apartamentos-en-venta-en-santa-anita-cali/5992559,249112500,2,1,44.41,cali
"EJEREAL, Apartamento en Venta en Avenida Centenario, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/ejereal-apartamentos-en-venta-en-avenida-centenario-armenia/10118042,200685030,3,1,53.4,armenia
"PURESSA RESIDENCIAL, Apartamentos en Venta en Yumbo",https://www.fincaraiz.com.co/proyectos-vivienda/puressa-residencial-apartamentos-en-venta-en-yumbo/15017159,197121595,2,2,62,yumbo
"VIOLETAS DEL CASTILLO, Casas en Venta en El Castillo, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/violetas-del-castillo-casas-en-venta-en-el-castillo-cali/6724706,460388054,3,2,108.24,cali
"TIERRALINDA DE LA PRADERA, Apartamentos en Venta en TierraLinda, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-de-la-pradera-apartamentos-en-venta-en-tierralinda-cali/6836856,327325883,3,2,68.66,cali
"GUAYACANES DE SAN DIEGO, Apartamento en Venta en Loma del Indio, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/guayacanes-de-san-diego-apartamentos-en-venta-en-loma-del-indio-medellin/15017516,463600000,2,2,57.93,medellín
"ROMERO, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/romero-apartamentos-en-venta-en-sur-cali/7188573,484880600,3,2,90.57,cali
"La Fontana, Apartamento en Venta en Puente aranda, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/la-fontana-apartamentos-en-venta-en-puente-aranda-bogota/15017191,234090000,2,1,35.71,bogotá
"TIERRALINDA DEL PARQUE, Apartamentos en Venta en TierraLinda, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-parque-apartamentos-en-venta-en-tierralinda-cali/6728039,202690570,2,2,58.35,cali
"ZUE ESMERALDA, Apartamentos en Venta en Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/zue-esmeralda-apartamentos-en-venta-en-soacha/15017446,135276300,2,1,39,soacha
"San Mateo La Quinta, Apartamentos en Venta en Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/san-mateo-la-quinta-apartamentos-en-venta-en-zipaquira/7766239,309150000,3,2,58.51,zipaquirá
"CANARIOS DEL CASTILLO E, Casa en Venta en El Castillo, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/canarios-del-castillo-e-casas-en-venta-en-el-castillo-cali/15017246,425600000,3,3,84.9,cali
Casa en venta,https://www.fincaraiz.com.co/proyectos-vivienda/zakura-silver/5418228,360000000,3,3,78,venta
"Solario, Apartamento en Venta en Las marinas, Soledad",https://www.fincaraiz.com.co/proyectos-vivienda/solario-apartamentos-en-venta-en-soledad/7766248,208920000,2,1,46,soledad
"ELEMENT, Apartamentos en Venta en Restrepo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/element-apartamentos-en-venta-en-restrepo-bogota/15017287,213525000,2,1,35.7,bogotá
"CANARIOS DEL CASTILLO D, Casas en Venta en El Castillo, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/canarios-del-castillo-d-casas-en-venta-en-el-castillo-cali/15017202,482000000,3,3,106.47,cali
"KOEL, Casa en Venta en Ciudad Country, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/koel-casas-en-venta-en-ciudad-country-jamundi/7456945,565232969,3,3,116.57,jamundí
"IBIS STYLES LAURELES, Apartamento en Venta en Laureles, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/ibis-styles-laureles-apartamentos-en-venta-en-laureles-medellin/15017305,257433057,1,1,20,medellín
"TUCANES DEL CASTILLO, Casas en Venta en El Castillo, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tucanes-del-castillo-casas-en-venta-en-el-castillo-cali/15017407,563500000,3,3,134.58,cali
"Parma, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/parma-apartamentos-en-venta-en-providencia-cartagena/15017175,213525000,2,2,66.72,cartagena
"Peñazul La Aldea, Apartamentos en Venta en Ricaurte",https://www.fincaraiz.com.co/proyectos-vivienda/peñazul-la-aldea-apartamentos-en-venta-en-ricaurte/3791838,274247000,3,2,57.84,ricaurte
"HELICONIAS, Apartamentos en Venta en La concordia, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/heliconias-apartamentos-en-venta-en-la-concordia-bucaramanga/10230671,246400000,3,2,60.67,bucaramanga
"COROZO, Apartamento en Venta en Estadio, Soledad",https://www.fincaraiz.com.co/proyectos-vivienda/corozo-apartamentos-en-venta-en-estadio-soledad/10211418,172750000,2,1,43.7,soledad
"El Campo, Apartamento en Venta en Porvenir, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/el-campo-apartamentos-en-venta-en-porvenir-bogota/15017184,192173000,1,2,54.08,bogotá
"Bulan Sky Line, Apartamento en Venta en La Boquilla, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/bulan-sky-line-apartamentos-en-venta-en-cielo-mar-cartagena/10718285,527446712,1,2,66.87,cartagena
"MONTEVEDRA CLUB RESIDENCIAL, Apartamentos en Venta en Galicia, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/montevedra-club-residencial-apartamentos-en-venta-en-galicia-pereira/7836752,388879024,3,2,65.5,pereira
"Puerta Dorada Arrecife, Apartamento en Venta en Comuna 1, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-dorada-arrecife-apartamentos-en-venta-en-comuna-1-barranquilla/4713998,175500000,2,1,49.44,barranquilla
"CIPRÉS DE LA FLORIDA, Apartamento en Venta en Gran granada, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/cipres-de-la-florida-apartamentos-en-venta-en-gran-granada-bogota/15017124,470000000,3,2,78,bogotá
"ACANTO 2, Apartamento en Venta en Mosquera",https://www.fincaraiz.com.co/proyectos-vivienda/acanto-2-apartamentos-en-venta-en-mosquera/6688163,217999000,2,2,38.5,mosquera
"PUERTO CASTILLA, Apartamento en Venta en Chiquinquira, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerto-castilla-apartamentos-en-venta-en-chiquinquira-barranquilla/3780570,274240000,3,2,72.14,barranquilla
"LIRA, Apartamento en Venta en Ub. el parque, Soledad",https://www.fincaraiz.com.co/proyectos-vivienda/lira-apartamentos-en-venta-en-ub-el-parque-soledad/10308087,370900000,3,2,70,soledad
"PLAYA ESCONDIDA, Apartamento en Venta en La boquilla, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/playa-escondida-apartamentos-en-venta-en-la-boquilla-cartagena/10966619,699000000,1,2,61,cartagena
"BOREAL, Apartamento en Venta en Américas Central, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/boreal-apartamentos-en-venta-en-americas-central-bogota/6511844,674900000,3,2,89,bogotá
"Provenza Prestige, Apartamentos en Venta en Lagos de Cordoba, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/provenza-prestige-apartamentos-en-venta-en-lagos-de-cordoba-bogota/10798208,1067894000,3,3,99.41,bogotá
"MARQUESA DE LA ANTIGUA, Apartamento en Venta en La estrella",https://www.fincaraiz.com.co/proyectos-vivienda/marquesa-de-la-antigua-apartamentos-en-venta-en-la-estrella/15016826,404400000,2,2,62.45,la estrella
"CIAN, Apartamento en Venta en Girardot",https://www.fincaraiz.com.co/proyectos-vivienda/cian-apartamentos-en-venta-en-girardot/15017399,194661000,2,2,52,girardot
"PUERTO AZUL CLUB HOUSE, Apartamento en Venta en Ricaurte",https://www.fincaraiz.com.co/proyectos-vivienda/puerto-azul-club-house-apartamentos-en-venta-en-ricaurte/15016995,332732239,2,2,58.88,ricaurte
"LOS NOGALES, Apartamento en Venta en Ub manuela, Villavicencio",https://www.fincaraiz.com.co/proyectos-vivienda/los-nogales-apartamentos-en-venta-en-la-cabaña-villavicencio/7762348,284300000,3,2,65.38,villavicencio
"VITA 219, Apartamento en Venta en Rodadero sur, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/vita-219-apartamentos-en-venta-en-rodadero-santa-marta/6974630,383286000,1,1,37.07,santa marta
"TORRE MONTANA, Apartamento en Venta en Hoyo grande, Piedecuesta",https://www.fincaraiz.com.co/proyectos-vivienda/torre-montana-apartamentos-en-venta-en-hoyo-grande-piedecuesta/15017385,148000000,1,1,35.59,piedecuesta
"SUNSET BOULEVARD APARTAMENTOS, Apartamento en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/sunset-boulevard-apartamentos-apartamentos-en-venta-en-portal-de-genoves-barranquilla/10174730,658633727,2,3,93,barranquilla
"BOSQUE MASARYK, Lote en Venta en Ruitoque Bajo, Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/bosque-masaryk-lotes-en-venta-en-ruitoque-bajo-floridablanca/15017426,661000000,0,0,640,floridablanca
"PARAISO CAMPESTRE, Casa en Venta en Montegrande, Caicedonia",https://www.fincaraiz.com.co/proyectos-vivienda/paraiso-campestre-casas-en-venta-en-caicedonia/15017089,427621000,3,3,120.77,caicedonia
"GUAYACANES, Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/guayacanes-apartamentos-en-venta-en-ciudad-del-rio-medellin/10345661,940000000,3,3,96,medellín
"NEW BOSTON TOWERS, Apartamento en Venta en Boston, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/new-boston-towers-apartamentos-en-venta-en-boston-barranquilla/3780498,463290097,3,3,83.39,barranquilla
"TANGARA, Apartamento en Venta en Engativá, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/tangara-apartamentos-en-venta-en-engativa-bogota/15017443,250000000,3,1,59.27,bogotá
"VIZCAINA AROMANZZA, Apartamento en Venta en Buenavista, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/vizcaina-aromanzza-apartamentos-en-venta-en-buenavista-barranquilla/7351334,436200000,2,2,69.5,barranquilla
"BELO HORIZONTE, Apartamento en Venta en Urbanizacion urapanes, Bello",https://www.fincaraiz.com.co/proyectos-vivienda/belo-horizonte-apartamentos-en-venta-en-la-primavera/7768596,179400000,2,1,48,bello
"VOLARE, Lote en Venta en Ruitoque Alto, Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/volare-lotes-en-venta-en-ruitoque-alto-floridablanca/15017425,242432000,0,0,162.46,floridablanca
"VIVANTE, Apartamentos en Venta en La Morada, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/vivante-apartamentos-en-venta-en-la-morada-jamundi/10972642,225500000,2,2,58.95,jamundí
"EL MOLINO PARQUE CENTRAL CAJICA, Apartamento en Venta en Centro, Cajicá",https://www.fincaraiz.com.co/proyectos-vivienda/el-molino-parque-central-cajica-apartamentos-en-venta-en-centro-cajica/4478865,232395650,2,2,45,cajicá
"LIVING 97, Oficina en Venta en Belén, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/living-97-oficinas-en-venta-en-san-javier-no1-medellin/7022668,199000000,0,1,35.9,medellín
"BELLAVISTA PARK, Apartamentos en Venta en Bellavista, Girón",https://www.fincaraiz.com.co/proyectos-vivienda/bellavista-park-apartamentos-en-venta-en-bellavista-giron/6508701,145262000,1,1,39,girón
"AUSTRO CUATRO VIENTOS, Apartamento en Venta en Montevideo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/austro-cuatro-vientos-apartamentos-en-venta-en-montevideo-bogota/5829490,407000000,2,2,58,bogotá
"ALCALA, Casas en Venta en Siberia, Cota",https://www.fincaraiz.com.co/proyectos-vivienda/alcala-casas-en-venta-en-siberia-cota/7117233,1850000000,4,4,172,cota
"BOSQUE DE TURPIAL, Apartamento en Venta en Verganzo, Tocancipá",https://www.fincaraiz.com.co/proyectos-vivienda/bosque-de-turpial-apartamentos-en-venta-en-verganzo-tocancipa/15017478,209000000,1,1,47,tocancipá
"ÁKI, Apartamento en Venta en Bello",https://www.fincaraiz.com.co/proyectos-vivienda/aki-apartamentos-en-venta-en-bello/7656909,335988790,2,2,50.65,bello
"SANTA BARBARA CLUB HOUSE, Casa en Venta en Puerto colombia",https://www.fincaraiz.com.co/proyectos-vivienda/santa-barbara-club-house-casas-en-venta-en-puerto-colombia/6809342,1450000000,3,3,230,puerto colombia
"Parque Oriente Montevista, Apartamento en Venta en Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/parque-oriente-montevista-apartamentos-en-venta-en-floridablanca/15017196,244440000,2,2,63.03,floridablanca
"PACIFIKA, Apartamento en Venta en Novaterra, Mosquera",https://www.fincaraiz.com.co/proyectos-vivienda/pacifika-apartamentos-en-venta-en-novaterra-mosquera/7346675,299000000,3,2,70,mosquera
"MARENA, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/marena-apartamentos-en-venta-en-pozos-colorados-santa-marta/15016987,326498220,1,1,30.98,santa marta
"BRASSIKA CLUB LIVING, Apartamento en Venta en Comuna 3, Palmira",https://www.fincaraiz.com.co/proyectos-vivienda/brassika-club-living-apartamentos-en-venta-en-santa-ana-palmira/7205118,316050803,2,2,67.32,palmira
"Belaterra Aréia, Apartamentos en Venta en Las Vegas de Comfandi, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/belaterra-areia-apartamentos-en-venta-en-las-vegas-de-comfandi-cali/7883883,417508000,3,2,77.38,cali
"RESERVA DE BELLAVISTA, Apartamento en Venta en El ensueno, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-de-bellavista-apartamentos-en-venta-en-madelena-bogota/15017532,232999000,3,2,44,bogotá
"MARANI RODADERO, Apartamentos en Venta en Rodadero, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/marani-rodadero-apartamentos-en-venta-en-rodadero-santa-marta/10069477,314748500,1,1,32,santa marta
"JARDINES DE FONTANAR, Apartamento en Venta en Hacienda Fontanar, Cajicá",https://www.fincaraiz.com.co/proyectos-vivienda/jardines-de-fontanar-apartamentos-en-venta-en-hacienda-fontanar-cajica/10054779,530000000,2,2,72,cajicá
"OPEN C60, Apartamento en Venta en Chapinero, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/open-c60-apartamentos-en-venta-en-chapinero-bogota/15017243,250000000,1,1,26.33,bogotá
"RESERVA DE CHIA, Apartamentos en Venta en Delicias Norte, Chía",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-de-chia-apartamentos-en-venta-en-delicias-norte-chia/10123993,212000000,2,1,38.5,chía
"BALTICO, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/baltico-apartamentos-en-venta-en-providencia-cartagena/10071730,212550000,2,1,57,cartagena
"TORRELADERA BOSQUE RESERVADO ETAPA 2, Apartamento en Venta en Suba cerros, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/torreladera-bosque-reservado-etapa-2-apartamentos-en-venta-en-suba-cerros-bogota/5497703,1650000000,4,5,165,bogotá
"PROVENZA REGENZY, Apartamento en Venta en Suba, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/provenza-regenzy-apartamentos-en-venta-en-suba-bogota/15017480,897060000,2,2,70,bogotá
"CERROAZUL, Apartamento en Venta en Avenida Centenario, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/cerroazul-apartamentos-en-venta-en-avenida-centenario-armenia/15016673,227000000,3,2,53.16,armenia
"BUENOS AIRES RESERVADO, Apartamento en Venta en Alvarez diaz, La mesa",https://www.fincaraiz.com.co/proyectos-vivienda/buenos-aires-reservado-apartamentos-en-venta-en-el-recreo-la-mesa/10081109,293918300,2,2,52.5,la mesa
"RESERVA DEL MAR BELLO HORIZONTE 2, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-del-mar-bello-horizonte-2-apartamentos-en-venta-en-pozos-colorados-santa-marta/10226587,419999000,1,1,37,santa marta
"CEREZO, Apartamentos en Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/cerezo-apartamentos-en-venta-en-lagos-de-torca-bogota/6382051,559000000,2,2,69,bogotá
"CENTRIKO, Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/centriko-apartamentos-en-venta-en-hayuelos-bogota/7887828,532595000,3,2,62.62,bogotá
"ICONIK ELITE, Apartamentos en Venta en La flora, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/iconik-elite-apartamentos-en-venta-en-la-flora-cali/7345335,350000000,2,2,58.11,cali
"LLANO ALTO 3, Apartamentos en Venta en Caños negros, Villavicencio",https://www.fincaraiz.com.co/proyectos-vivienda/llano-alto-3-apartamentos-en-venta-en-caños-negros-villavicencio/6517073,192200000,3,1,56,villavicencio
"Zuri Zentral, Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/zuri-zentral-apartamentos-en-venta-en-hayuelos-bogota/10183150,230600000,1,2,30.78,bogotá
"JACARANDAS PARQUE RESIDENCIAL, Apartamento en Venta en Envigado",https://www.fincaraiz.com.co/proyectos-vivienda/jacarandas-parque-residencial-apartamentos-en-venta-en-envigado/15017453,1135397800,3,4,113.59,envigado
"Puerta Dorada La Isla, Apartamentos en Venta en Miramar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-dorada-la-isla-apartamentos-en-venta-en-miramar-barranquilla/15017215,195000000,2,2,48.53,barranquilla
"Serranía del Hato, Apartamentos en Venta en Guatiguara, Piedecuesta",https://www.fincaraiz.com.co/proyectos-vivienda/serrania-del-hato-apartamentos-en-venta-en-guatiguara-piedecuesta/15017180,472902000,3,2,90,piedecuesta
"PINOT, Apartamento en Venta en Envigado",https://www.fincaraiz.com.co/proyectos-vivienda/pinot-apartamentos-en-venta-en-envigado/15017452,1148157500,2,3,87.35,envigado
"Distrito KB, Apartamento en Venta en Palermo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/distrito-kb-apartamentos-en-venta-en-palermo-bogota/15017509,265000000,1,1,23.85,bogotá
"Aquanova, Apartamento en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/aquanova-apartamentos-en-venta-en-ciudad-mallorquin-barranquilla/7055721,207540000,3,2,46.99,barranquilla
"Ciudad del Parque Tayrona I, Apartamentos en Venta en Siete de abril, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-del-parque-tayrona-i-apartamentos-en-venta-en-siete-de-abril-barranquilla/15017225,213525000,2,2,58.76,barranquilla
"AREWA, Apartamento en Venta en Rodadero y Gaira, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/arewa-apartamentos-en-venta-en-rodadero-y-gaira-santa-marta/7808398,385200000,1,1,36,santa marta
"Inter 7-33, Apartamento en Venta en Centro Internacional, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/inter-733-apartamentos-en-venta-en-centro-internacional-bogota/15017536,490000000,1,2,43,bogotá
"CITYLIVE HUNDRED, Apartamento en Venta en Barrios Unidos, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/citylive-hundred-apartamentos-en-venta-en-barrios-unidos-bogota/15017515,230607000,1,1,19,bogotá
"CAÑAVIVA, Apartamento en Venta en La glorieta, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/cañaviva-apartamentos-en-venta-en-la-glorieta-pereira/4913502,299000000,1,2,40,pereira
"CAYENA IV, Apartamentos en Venta en Ciudad verde, Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/cayena-iv-apartamentos-en-venta-en-ciudad-verde-soacha/15016979,232300000,2,1,56,soacha
"PLAYA SANTUA MAR, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/playa-santua-mar-apartamentos-en-venta-en-pozos-colorados-santa-marta/15017051,1053000000,1,2,57.5,santa marta
"MANAMELI COUNTRY HOUSE, Lote en Venta en La palma, Barbosa",https://www.fincaraiz.com.co/proyectos-vivienda/manameli-country-house-lotes-en-venta-en-la-palma-barbosa/15017141,367555000,0,0,1007,barbosa
"Riverside, Apartamentos en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/riverside-apartamentos-en-venta-en-riomar-barranquilla/6640692,542575000,2,2,80.28,barranquilla
"CASTELLANA 51, Apartamento en Venta en Buenavista, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/castellana-51-apartamentos-en-venta-en-buenavista-barranquilla/6450550,422252000,2,2,62.5,barranquilla
"El Castell Iberia Reservado1, Apartamento en Venta en El tintal, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/el-castell-iberia-reservado1-apartamentos-en-venta-en-nueva-castilla-bogota/10079906,230600000,1,1,34.68,bogotá
"Praia Tower House, Apartamento en Venta en Crespo, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/praia-tower-house-apartamentos-en-venta-en-crespo-cartagena/10718645,590000000,2,3,91.42,cartagena
"ALAMOS 23 APARTAMENTOS, Apartamento en Venta en Corbones, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/alamos-23-apartamentos-apartamentos-en-venta-en-alamos-armenia/6649525,149325000,2,1,45.2,armenia
"POSEIDON APARTASUITES, Apartamento en Venta en Gaira mar, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/poseidon-apartasuites-apartamentos-en-venta-en-rodadero-santa-marta/7823942,270084955,1,1,35,santa marta
