titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades
"LOS LAGOS, Apartamento en Venta en Cascajal, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/los-lagos-apartamentos-en-venta-en-cascajal-cali/15017395,249538000,2,1,65.23,cali
"MORETTI, Apartamento en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/moretti-apartamentos-en-venta-en-riomar-barranquilla/15017064,412736800,2,2,64.99,barranquilla
"SAMARIA, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/samaria-apartamentos-en-venta-en-pozos-colorados-santa-marta/10833128,1168747000,2,2,94.29,santa marta
"LOS SAUCES, Apartamentos en Venta en La felicidad, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/los-sauces-apartamentos-en-venta-en-la-felicidad-bogota/15017292,736096690,3,2,80.72,bogotá
"MALAGA CASTILLA RESERVADO, Apartamento en Venta en Tintala, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/malaga-castilla-reservado-apartamentos-en-venta-en-nueva-castilla-bogota/10080314,456811000,3,2,78.17,bogotá
"CASTELÓ, Apartamento en Venta en Nueva Castilla, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/castelo-apartamentos-en-venta-en-nueva-castilla-bogota/15017471,391400173,3,2,59,bogotá
"LIBBE 126, Apartamento en Venta en Usaquen, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/libbe-126-apartamentos-en-venta-en-usaquen-bogota/15017148,672997565,1,2,63.39,bogotá
"COLINAS DE SAN JUAN, Apartamentos en Venta en Sagrado corazon, Girón",https://www.fincaraiz.com.co/proyectos-vivienda/colinas-de-san-juan-apartamentos-en-venta-en-sagrado-corazon-giron/15017333,218000000,2,1,48.37,girón
"PRISMA, Apartamento en Venta en Restrepo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/prisma-apartamentos-en-venta-en-restrepo-bogota/15017294,213525000,2,1,33.92,bogotá
"DUVENTTO, Apartamentos en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/duventto-apartamentos-en-venta-en-riomar-barranquilla/15017218,744846000,2,3,75.34,barranquilla
"CONJUNTO CERRADO LLANO LINDO, Apartamento en Venta en Puerto López",https://www.fincaraiz.com.co/proyectos-vivienda/conjunto-cerrado-llano-lindo-apartamentos-en-venta-en-puerto-lopez/15017485,123894770,2,2,58.06,puerto lópez
"COLINA LIVING, Apartamento en Venta en Colina Campestre, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/colina-living-apartamentos-en-venta-en-colina-campestre-bogota/15017472,570775433,1,2,46.13,bogotá
"CENTURY SUITES, Apartamento en Venta en La pradera, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/century-suites-apartamentos-en-venta-en-la-pradera-dosquebradas/15017135,265803259,3,2,47.63,dosquebradas
"Reserva de La Sierra, Apartamento en Venta en Usaquen, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-de-la-sierra-apartamentos-en-venta-en-usaquen-bogota/10857920,2250359000,3,5,176.08,bogotá
"CAMPOS DE PANGOLA MIRADOR DEL RIO, Apartamento en Venta en Cn. paisaje de pangola, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/campos-de-pangola-mirador-del-rio-apartamentos-en-venta-en-jamundi/6982734,209679900,2,2,62.08,jamundí
"OTOBO CLUB RESIDENCIAL, Apartamentos en Venta en Palmaseca, Palmira",https://www.fincaraiz.com.co/proyectos-vivienda/otobo-club-residencial-apartamentos-en-venta-en-palmaseca-palmira/5648090,495650000,2,2,74.2,palmira
"GRAND BAY BARU CONDOMINIUM, Lotes en Venta en Barú, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/grand-bay-baru-condominium-lotes-en-venta-en-baru-cartagena/15017072,199072000,0,0,248.84,cartagena
"RIVERBAY, Apartamento en Venta en Miramar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/riverbay-apartamentos-en-venta-en-lago-alto-barranquilla/10183466,397774000,2,2,56.79,barranquilla
"SCALENO 17, Apartamento en Venta en Paloquemao, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/scaleno-17-apartamentos-en-venta-en-los-martires-bogota/7922480,207546300,1,1,30.1,bogotá
"ALTOS DE LA RIVIERA RESERVA CAMPESTRE, Apartamentos en Venta en Bajo Ostion, Tubará",https://www.fincaraiz.com.co/proyectos-vivienda/altos-de-la-riviera-reserva-campestre-apartamentos-en-venta-en-bajo-ostion-tubara/5512410,130000000,0,0,300,tubará
"LA UNIÓN I DE LA MARLENE, Apartamento en Venta en Granjas san pablo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/la-union-i-de-la-marlene-apartamentos-en-venta-en-granjas-san-pablo-bogota/6707287,195000000,3,1,48,bogotá
"KOBE 50, Apartamento en Venta en Palermo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/kobe-50-apartamentos-en-venta-en-teusaquillo-bogota/15017423,203994450,1,1,20.61,bogotá
"NUVA PARK, Apartamento en Venta en Nueva colina, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/nuva-park-apartamentos-en-venta-en-nueva-colina-bogota/15017470,320000000,1,1,36.7,bogotá
"EDEN DEL PARQUE, Apartamento en Venta en Paso de la bolsa, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/eden-del-parque-apartamentos-en-venta-en-paso-de-la-bolsa-jamundi/4945541,134500000,2,1,47.02,jamundí
"ESMERALDA, Apartamento en Venta en Alameda del Rio, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/esmeralda-apartamentos-en-venta-en-alameda-del-rio-barranquilla/15017060,380440000,3,2,76.5,barranquilla
"ENTREVILLAS, Apartamento en Venta en Viviendas del Sur, Itaguí",https://www.fincaraiz.com.co/proyectos-vivienda/entrevillas-apartamentos-en-venta-en-viviendas-del-sur-itagui/15016969,459900000,2,2,61,itaguí
"BELATERRA PIETRA, Apartamento en Venta en Mayapan las vegas, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/belaterra-pietra-apartamentos-en-venta-en-valle-del-lili-cali/15016756,400401000,2,2,67.4,cali
"FLOR APARTAMENTOS, Apartamento en Venta en Bello",https://www.fincaraiz.com.co/proyectos-vivienda/flor-apartamentos-apartamentos-en-venta-en-bello/15017254,348150000,2,2,62,bello
"BIO HACIENDA SANTA CRUZ, Apartamentos en Venta en Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/bio-hacienda-santa-cruz-apartamentos-en-venta-en-ibague/15017298,192172500,2,2,56.67,ibagué
"BOSSCATTA 147 APARTMENTOS, Apartamento en Venta en Colina Campestre, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/bosscatta-147-apartmentos-apartamentos-en-venta-en-bogota/10728765,331568000,1,1,36,bogotá
"BOSQUE RESERVADO, Apartamentos en Venta en Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/bosque-reservado-apartamentos-en-venta-en-ibague/15017049,370155000,3,2,71.96,ibagué
"NIQUEL, Apartamento en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/niquel-apartamentos-en-venta-en-valle-del-lili-cali/15017416,511500327,2,2,75.25,cali
"Lúmina, Apartamentos en Venta en Pance, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/lumina-apartamentos-en-venta-en-pance-cali/15017502,249538000,1,1,28.7,cali
