,titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades,region
26,"TIERRA DULCE, Apartaestudio en Venta en Caldas",https://www.fincaraiz.com.co/proyectos-vivienda/tierra-dulce-apartaestudios-en-venta-en-caldas/15016931,245000000,2,2,52,caldas,Andina
27,"ZUÁ CORAL – ZUÁ CIUDADELA RESIDENCIAL, Apartamento en Venta en La granja, Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/zua-coral-–-zua-ciudadela-residencial-apartamentos-en-venta-en-san-rafael-zipaquira/10687679,195800000,2,2,49.7,zipaquirá,desconocido
28,"ALTOS DE LA RIVIERA RESERVA CAMPESTRE, Apartamento en Venta en Bajo Ostion, Tubará",https://www.fincaraiz.com.co/proyectos-vivienda/altos-de-la-riviera-reserva-campestre-apartamentos-en-venta-en-bajo-ostion-tubara/5512410,130000000,0,0,300,tubará,desconocido
29,"VITA, Apartamento en Venta en Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/vita-apartamentos-en-venta-en-ibague/15017084,138364200,2,1,43.1,ibagué,Andina
30,"NUVA PARK, Apartamento en Venta en Nueva colina, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/nuva-park-apartamentos-en-venta-en-nueva-colina-bogota/15017470,320000000,1,1,36.7,bogotá,Orinoquía
31,"PORTOROSSO APARTAMENTOS, Apartamento en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/portorosso-apartamentos-apartamentos-en-venta-en-villa-campestre-barranquilla/5177821,531000000,3,3,91.42,barranquilla,Caribe
32,"MORETTI, Apartamento en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/moretti-apartamentos-en-venta-en-riomar-barranquilla/15017064,412736800,2,2,64.99,barranquilla,Caribe
33,"SIERRA VERDE, Apartamento en Venta en Avenida Centenario, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/sierra-verde-apartamentos-en-venta-en-avenida-centenario-armenia/15017320,476000000,1,2,60.56,armenia,Andina
34,"ELEMENTAL, Apartamento en Venta en Engativá, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/elemental-apartamentos-en-venta-en-engativa-bogota/15017445,330000000,1,1,22,bogotá,Orinoquía
35,"VIOLETAS DEL CASTILLO, Casa en Venta en El Castillo, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/violetas-del-castillo-casas-en-venta-en-el-castillo-cali/6724706,460388054,3,2,108.24,cali,Amazonía
36,"VALLE ALTO DE LA PRADERA, Lote en Venta en La calera",https://www.fincaraiz.com.co/proyectos-vivienda/valle-alto-de-la-pradera-lotes-en-venta-en-la-calera/15017468,621600000,0,0,1960,la calera,desconocido
37,"SENDEROS DE LA MORADA II VILAS CLUB / VILAS CLUB, Apartamento en Venta en La Morada, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/senderos-de-la-morada-ii-vilas-club-vilas-club-apartamentos-en-venta-en-la-morada-jamundi/3647470,626500000,3,4,136.75,jamundí,desconocido
38,"LIBBE 126, Apartamento en Venta en Usaquen, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/libbe-126-apartamentos-en-venta-en-usaquen-bogota/15017148,672997565,1,2,63.39,bogotá,Orinoquía
39,"CITIZEN, Apartamento en Venta en Interindustrial, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/citizen-apartamentos-en-venta-en-interindustrial-bogota/15016898,538139000,2,2,58.39,bogotá,Orinoquía
40,"BUONAVISTA APARTAMENTOS, Apartamento en Venta en Prados del norte, Cúcuta",https://www.fincaraiz.com.co/proyectos-vivienda/buonavista-apartamentos-apartamentos-en-venta-en-prados-del-norte-cucuta/7814952,155161500,2,1,37,cúcuta,Andina
41,"GUAYACANES DE SAN DIEGO, Apartamento en Venta en Loma del Indio, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/guayacanes-de-san-diego-apartamentos-en-venta-en-loma-del-indio-medellin/15017516,463600000,2,2,57.93,medellín,Andina
42,"SERENITY HOMES, Casa en Venta en El Caimo, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/serenity-homes-casas-en-venta-en-el-caimo-armenia/15017133,621464913,3,3,116.4,armenia,Andina
43,"TIERRALINDA DEL PARQUE, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-parque-apartamentos-en-venta-en-tierralinda-cali/6728039,202690570,2,2,58.35,cali,Amazonía
44,"VALLE DEL NORTE, Apartamento en Venta en Bello",https://www.fincaraiz.com.co/proyectos-vivienda/valle-del-norte-apartamentos-en-venta-en-bello/15017255,414515000,2,2,60.22,bello,desconocido
45,"L UNIQUE APARTAMENTOS, Apartamento en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/l-unique-apartamentos-apartamentos-en-venta-en-riomar-barranquilla/10054988,2932849000,3,4,270,barranquilla,Caribe
46,"AZAHAR  HOME SUITES, Apartamento en Venta en Via El Eden, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/azahar-home-suites-apartamentos-en-venta-en-via-la-tebaida-armenia/10651989,612000000,2,2,76.08,armenia,Andina
47,"LEVEN, Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/leven-apartamentos-en-venta-en-via-las-palmas-medellin/7220411,726900000,1,2,57.82,medellín,Andina
48,"SIENA, Apartamento en Venta en Miramar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/siena-apartamentos-en-venta-en-miramar-barranquilla/10388514,434778000,3,2,72.23,barranquilla,Caribe
49,"COLINA LIVING, Apartamento en Venta en Colina Campestre, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/colina-living-apartamentos-en-venta-en-colina-campestre-bogota/15017472,570775433,1,2,46.13,bogotá,Orinoquía
50,"HACIENDA  LA HERRADURA, Casa en Venta en Fagua, Chía",https://www.fincaraiz.com.co/proyectos-vivienda/hacienda-la-herradura-casas-en-venta-en-fagua-chia/15017481,598203840,0,0,507,chía,desconocido
51,"LA VIDA ES BELLA 1, Apartamento en Venta en Asentamiento la orquidea, Bello",https://www.fincaraiz.com.co/proyectos-vivienda/la-vida-es-bella-1-apartamentos-en-venta-en-bello/10380755,239550000,3,2,63.9,bello,desconocido
52,"826 BOREAL, Apartamento en Venta en Industrial, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/826-boreal-apartamentos-en-venta-en-industrial-cali/15016957,253306000,1,1,50,cali,Amazonía
53,"CLARO ALTO, Casa en Venta en Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/claro-alto-casas-en-venta-en-jamundi/15017327,214602933,2,1,63.33,jamundí,desconocido
