,real_price,predict_price,porcentaje_error
42,844272000,519635453.28474987,0.3845165381716439
43,546605560,345915521.5976833,0.3671569648913134
44,203994450,216732081.525755,0.062441068988666054
45,402800000,453909730.53454673,0.1268861234720624
46,207546300,211474384.8841977,0.018926306487746167
47,611100000,472235371.0503755,0.22723716077503597
48,331568000,322318432.03579795,0.027896443457155234
49,643749509,484116934.22599894,0.24797312082144216
50,215900000,239298200.7656785,0.10837517723797357
51,291999000,233614346.7543338,0.19994812737600542
52,287608000,319163894.2965705,0.10971841637426803
53,438646535,409597078.26818216,0.0662252050658917
54,273000000,311893746.4418682,0.14246793568449884
55,192172500,235630005.58612493,0.2261380040647071
56,163607503,201329844.7050807,0.23056608659983452
57,828475389,638292375.1725746,0.2295578315935048
58,336106000,297134334.8937756,0.11595051890244273
59,350700000,361800605.1572506,0.031652709316368925
60,192172500,352080203.04363686,0.8321050256599506
61,447152534,434280180.1117611,0.028787388887387827
62,525700000,490799546.52876675,0.0663885361826769
63,224582392,324523711.56886375,0.4450095961613222
64,547312000,472198865.0245413,0.1372400659504244
65,213525000,214323072.74694955,0.0037376079941437933
66,736096690,575958054.8817282,0.21755108709736465
67,399000000,374977505.7196912,0.060206752582227525
68,235595700,222280516.95166197,0.05651708859006351
69,568622000,416535363.52677786,0.26746526949928445
70,227767000,379889111.78190565,0.6678847760294759
71,496750000,379473809.25779486,0.2360869466375544
72,499591000,376740253.8388308,0.24590264068241655
73,249538000,325714726.2355329,0.3052710458348343
74,236900000,232215510.37157458,0.01977412253451
75,185797300,199426660.48859993,0.0733560740043043
76,360548000,464200365.5550902,0.2874856206527014
77,599000000,366100325.81322646,0.38881414722332813
78,618365000,401682510.34727687,0.350411956777507
79,135801900,188218990.14042637,0.3859820086495577
80,278837000,250577193.19224775,0.10134884110699889
81,203243000,219486363.29215512,0.07992089908215838
82,295600000,244540467.5553871,0.17273184182886633
83,380440000,413625037.94811577,0.08722804633612598
84,370155000,366497876.55099255,0.0098799785198294
85,373000000,476089560.0218622,0.27637951748488526
86,204631000,284239897.21566635,0.3890363494077943
87,393000000,477725927.01915795,0.2155876005576538
88,353927000,218394391.4111498,0.3829394439781373
89,265096000,247465592.82702222,0.06650574574108163
90,228871503,239827358.12087703,0.047869022474488786
91,213525000,213658451.07966486,0.0006249904210975586
92,482000000,586550574.622519,0.21690990585584857
93,535000000,513603479.34887564,0.03999349654415768
94,415449000,439530717.5421211,0.05796552053831183
95,221169000,266671972.75931114,0.20573847491877767
96,225719000,224594284.71357846,0.004982811754533457
97,209004705,260946052.55901122,0.2485175994435686
98,163104500,199426660.48860064,0.22269257125708145
99,789100000,1011262784.2039286,0.28153945533383423
100,453733943,327719762.6344994,0.27772702992489284
101,320742000,250636116.3098586,0.2185740679117216
102,425600000,400991695.4610103,0.05782026442431796
103,222074595,262082800.7700387,0.1801566080534277
104,547973000,446600827.59716445,0.18499483077238393
105,426828000,321599303.14059407,0.24653653663631706
106,337931163,340612169.49570054,0.00793358763335046
107,652100000,451005246.7966107,0.3083802380055042
108,257433057,174117216.668323,0.32364079929205436
109,234090000,213888875.9285292,0.08629639912627962
110,174000000,208173197.5460589,0.19639768704631547
111,350416000,395270799.80236155,0.12800442845749493
112,464697000,330493432.0701444,0.2887980080135133
113,456811000,456131085.1168411,0.001488394288138688
114,278000000,195062574.23712188,0.29833606389524503
115,400401000,390055058.5663055,0.02583895003682429
116,213525000,303784500.5349174,0.42271162877844476
117,449566000,461308880.98473203,0.026120482831735566
118,515069000,459000545.71222496,0.1088562004076639
119,405467000,439278710.3412431,0.08338954918955942
120,2250359000,1573531628.6455233,0.3007641764511692
121,192172500,352080203.0436356,0.832105025659944
122,481619185,453919317.7178463,0.05751404459137924
123,470292000,460685549.41304654,0.020426566020586064
124,202690570,336722633.6985556,0.661264427341418
125,441712000,446136550.66588306,0.010016822422490365
126,290500000,229556511.59939802,0.20978825611222712
127,200685030,202593421.07743752,0.009509384319485713
128,553070000,353557115.3779382,0.3607371302404068
129,360000000,337573095.36556345,0.0622969573178793
130,195000000,196999969.42540905,0.010256253463636148
131,554802242,405752929.89188147,0.2686530457606163
132,419194660,328017780.14076287,0.21750486959742554
133,324465000,302086415.5637795,0.06897071929551886
134,222074595,249407975.58520505,0.12308197876125834
135,375000000,393717616.71788836,0.049913644581035616
136,208650000,304930161.5611806,0.46144338155370523
137,478318000,332515443.12098944,0.3048234791059725
138,587268000,383213215.00380164,0.347464505125766
139,213525000,213859296.58374017,0.0015656086347742642
140,577808937,536502793.23532736,0.07148754738743793
141,194951000,200178008.05873087,0.026811906882913503
142,418684644,425350439.5007768,0.015920802437590302
143,324042947,277285133.0677057,0.14429511385814642
144,230607000,210951884.08834395,0.08523208710774631
145,209999000,211519761.26666972,0.0072417548020215355
146,531137000,474200409.45103407,0.1071975602320417
147,192172500,240628475.42540094,0.25214833248982527
148,213525000,289120644.1595199,0.3540365023276896
149,1168747000,795116318.0882347,0.31968482649518276
150,558965000,541595856.4570969,0.03107375871996112
151,642728968,627690521.8044695,0.023397803653266387
152,598229000,468693596.247166,0.21653146830533795
153,375000000,378085681.8415575,0.008228484910820007
154,1145601000,919873815.6837403,0.19703822213515854
155,249112500,217267580.6195733,0.1278334863984212
156,540203700,470594272.5459177,0.12885773913448262
